mission	type	title	item_C	item_R	item_A	item_P
STANDARD	NORMAL	BEFORE START	SIGNS Panel	SET	RSP	
STANDARD	NORMAL	BEFORE START	EMER LT Panel	SET	RSP	
STANDARD	NORMAL	BEFORE START	     EMER LT Knob	ON	RSP	Verify the EMER LT ON and the EMER LT NOT ARMED messages displayed on the CAS.
STANDARD	NORMAL	BEFORE START	     EMER LT Knob	ARMED	RSP	
STANDARD	NORMAL	BEFORE START	Ice Protection WING Button (1)	PUSH OUT	RSP	
STANDARD	NORMAL	BEFORE START	RECIRC CARGO Button (2)	PUSH OUT	RSP	
STANDARD	NORMAL	BEFORE START	Crew Oxygen Masks & Regulators	CHECK / 100%	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Display Control Panel	SET	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Reversionary Panel	SET	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Audio Control Panels	AS REQUIRED	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Flight Instruments	SET / X-CHECK	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Fuel Quantity	CHECK	LSP / RSP	
STANDARD	NORMAL	BEFORE START	Standby Display Unit	SET	LSP 	
STANDARD	NORMAL	BEFORE START	ZEROIZE Switch	GUARDED DOWN	LSP 	
STANDARD	NORMAL	BEFORE START	PARKING BRAKE Switch	GUARDED ON	LSP 	
STANDARD	NORMAL	BEFORE START	CARGO DOOR / RAMP Panel	CHECK	LSP 	
STANDARD	NORMAL	BEFORE START	CMDS Panel	SET	LSP 	
STANDARD	NORMAL	BEFORE START	MISSION SYSTEM Panel	CHECK	LSP 	
STANDARD	NORMAL	BEFORE START	     MC2 Button (PUSH OUT) (3)	STRIPED BAR ILLUMINATED	RSP	
STANDARD	NORMAL	BEFORE START	GROUND PROXIMITY Panel	CHECK	RSP	
STANDARD	NORMAL	BEFORE START	EO / IR SYSTEM Panel	CHECK	RSP	
STANDARD	NORMAL	BEFORE START	Emergency Extension System Compartment	CHECK	RSP	
STANDARD	NORMAL	BEFORE START	LDG ALTERNATE CTRL Selector	NORMAL	RSP	
STANDARD	NORMAL	BEFORE START	FMS	SET	LSP	CAUTION: FMS TOLD FUNCTION DOES NOT HAVE OBSTACLE DATABASE. WHEN USING TOLD, PILOT MUST VERIFY APPLICABLE OBSTACLE CLEARANCE DATA BEFORE TAKEOFF.
STANDARD	NORMAL	BEFORE START	Takeoff Briefing	COMPLETED	LSP	
